Date,Day of Week,device_count,Average,24-hour rate
2020-01-02,Thursday,1527.3367357188297,753.6006225432533,0.493408300160198
2020-01-03,Friday,1527.3471366060114,736.8477175540968,0.48243631057670366
2020-01-06,Monday,1528.7277270658135,737.3639025750583,0.48233828007445695
2020-01-07,Tuesday,1527.5825814476389,724.4750180518453,0.47426242407483105
2020-01-08,Wednesday,1529.943977429756,728.5154092573584,0.4761712977760368
2020-01-09,Thursday,1528.3235858951086,716.1200317449344,0.46856571367085015
2020-01-10,Friday,1530.8630171204584,707.2234601777319,0.4619769713347794
2020-01-13,Monday,1534.852528218776,730.9178659407761,0.47621374203879996
2020-01-14,Tuesday,1537.554488298987,722.4581322070301,0.4698748159528923
2020-01-15,Wednesday,1540.0934529401168,731.8109273828591,0.4751730656252027
2020-01-16,Thursday,1537.402925712512,718.4507519416126,0.46731454710133674
2020-01-17,Friday,1538.0779583335354,704.5787936215319,0.4580904302048014
2020-01-21,Tuesday,1542.0281039244967,716.1140814418883,0.4643975551543851
2020-01-22,Wednesday,1540.590633021133,706.5470825918665,0.4586209129457782
2020-01-23,Thursday,1542.0175378652912,713.4576470725232,0.4626780367622836
2020-01-24,Friday,1543.3698470687775,710.2736960323532,0.46020964928227026
2020-01-27,Monday,1542.866990789377,732.0966659817623,0.4745040696004518
2020-01-28,Tuesday,1550.9022149521625,731.6183969701941,0.47173728292906003
2020-01-29,Wednesday,1548.3678476126706,727.3550561999042,0.4697559803514174
2020-01-30,Thursday,1547.3230521954126,718.6348663440803,0.46443751052790705
2020-01-31,Friday,1546.8836364887036,706.7331859360334,0.4568754683708844
2020-02-03,Monday,1517.1725085975586,680.0249705129945,0.44821862158680614
2020-02-04,Tuesday,1523.3846780455506,697.490724209491,0.4578559403028441
2020-02-05,Wednesday,1527.074572408113,726.0405522925743,0.4754453812610134
2020-02-06,Thursday,1527.1728572386123,718.3380137201675,0.47037112420858795
2020-02-07,Friday,1520.587066305947,657.2556178823954,0.43223806939191306
2020-02-10,Monday,1519.615557430351,673.4984419486033,0.44320317639250806
2020-02-11,Tuesday,1527.9906734211677,712.1641449358658,0.4660788559273938
2020-02-12,Wednesday,1527.0595653610262,700.643538254215,0.4588187351346503
2020-02-13,Thursday,1524.086968541468,649.0494788926993,0.4258611826553648
2020-02-14,Friday,1525.6895390333511,632.7252635725196,0.4147142963131298
2020-02-18,Tuesday,1543.6563163923672,703.4372991635556,0.45569554031789783
2020-02-19,Wednesday,1532.0985168522006,649.8946661358091,0.42418595082975563
2020-02-20,Thursday,1527.501714395173,650.1151056284432,0.42560679277918956
2020-02-21,Friday,1530.4691052297512,641.0571315702413,0.41886316383629774
2020-02-24,Monday,1527.9146196589386,652.260618962037,0.4268959865752412
2020-02-25,Tuesday,1524.0333554145957,627.604553147284,0.4118049981764024
2020-02-26,Wednesday,1524.8046276907814,631.6726771415217,0.41426466425285535
2020-02-27,Thursday,1525.7653438053878,635.9243680154619,0.4167904131505653
2020-02-28,Friday,1532.9734670749647,632.3723464303778,0.41251356270176975
2020-03-02,Monday,1523.4315980917734,667.3328076069935,0.4380457963737158
2020-03-03,Tuesday,1522.6012452909167,632.5622674789272,0.4154484106953862
2020-03-04,Wednesday,1526.190540114463,646.6400387734493,0.42369548347806685
2020-03-05,Thursday,1523.2976938604504,627.0637217906623,0.41164883549551784
2020-03-06,Friday,1525.1779334634605,617.4656493809912,0.40484827103341
2020-03-09,Monday,1527.4557625479856,645.2492455127216,0.42243399863598396
2020-03-10,Tuesday,1536.5199660934852,678.4045827031099,0.4415201869637366
2020-03-11,Wednesday,1543.14239428429,697.3898060250255,0.45192835645506
2020-03-12,Thursday,1535.0627830213755,663.8337284174113,0.43244728213058864
2020-03-13,Friday,1530.5314421121948,662.6427774410604,0.4329494704967229
2020-03-16,Monday,1541.0862348829392,743.8377407697285,0.482671069232041
2020-03-17,Tuesday,1539.1012470525318,766.6378184754225,0.4981074636535955
2020-03-18,Wednesday,1541.2486669756327,776.4087417064284,0.5037530661615836
2020-03-19,Thursday,1539.4260910599007,760.3843640997733,0.4939401563450479
2020-03-20,Friday,1543.8025012236906,701.1383114310205,0.4541632176883152
2020-03-23,Monday,1538.977782856476,783.0394384565292,0.5088049010058743
2020-03-24,Tuesday,1542.6028893741968,804.3418024881523,0.5214185763741553
2020-03-25,Wednesday,1535.3343723379542,794.1147693812721,0.5172259435395963
2020-03-26,Thursday,1548.8615598487577,818.9623157958526,0.528751140208956
2020-03-27,Friday,1553.7474965512451,829.7992137254497,0.5340631058568412
2020-03-30,Monday,1542.6867275500626,800.3029529307937,0.5187721775514028
2020-03-31,Tuesday,1545.4247858803674,814.3738763217932,0.5269579495309289
2020-04-01,Wednesday,1529.4659346779267,842.0028910571457,0.5505208530417213
2020-04-02,Thursday,1530.1021292750086,841.7821465973088,0.5501476865444016
2020-04-03,Friday,1532.1217556019335,839.0210511275833,0.5476203494009863
2020-04-06,Monday,1538.0037598002546,858.3753118291286,0.5581100217470265
2020-04-07,Tuesday,1538.3497805578643,855.9893670216056,0.5564335093616949
2020-04-08,Wednesday,1536.4213545252665,848.5468616809411,0.5522878598254908
2020-04-09,Thursday,1536.1323627090212,846.7963044179074,0.5512521739497458
2020-04-10,Friday,1539.5114471473444,850.3369180588194,0.5523420560688009
2020-04-13,Monday,1545.4173984322465,866.3070698381049,0.5605651073405364
2020-04-14,Tuesday,1554.3123429071006,900.2231397367433,0.5791777591195186
2020-04-15,Wednesday,1553.1597787808146,897.5015147234429,0.577855238710827
2020-04-16,Thursday,1556.1755241272845,890.6179024139133,0.5723119844809144
2020-04-17,Friday,1556.9218844272473,888.4911141513943,0.5706716072516689
2020-04-20,Monday,1546.1527665237604,839.2825139669748,0.542819915430444
2020-04-21,Tuesday,1539.7447189611194,830.7186636872971,0.5395171377809894
2020-04-22,Wednesday,1539.6974785825546,829.7103180627568,0.5388787924927876
2020-04-23,Thursday,1542.1847888204522,822.8624746081607,0.533569310612596
2020-04-24,Friday,1543.9614007591526,818.0425061571613,0.5298335215860557
2020-04-27,Monday,1545.5462563931399,828.9014319486454,0.536316159105495
2020-04-28,Tuesday,1546.4958578195324,819.3760060939849,0.5298274818849218
2020-04-29,Wednesday,1546.600576068578,800.4642470164885,0.517563655026723
2020-04-30,Thursday,1548.5643381809216,784.9923909883,0.5069162266195671
2020-05-01,Friday,1534.6886219403832,813.8149654144862,0.5302801843839433
2020-05-04,Monday,1538.561576138178,834.9815352563611,0.5427027089498636
2020-05-05,Tuesday,1538.9959888998544,834.8355477195638,0.5424546611822835
2020-05-06,Wednesday,1536.1707895018537,824.4046208444372,0.5366620863242514
2020-05-07,Thursday,1537.8264780738964,815.6010720041131,0.5303596235549545
2020-05-08,Friday,1539.9215941447574,813.3421814250128,0.528171164374591
2020-05-11,Monday,1536.9477236536468,816.5600045437112,0.5312867783183783
2020-05-12,Tuesday,1536.259887473109,811.607747895981,0.5283010736099738
2020-05-13,Wednesday,1539.5966511482336,809.5756549444342,0.5258362015406122
2020-05-14,Thursday,1540.7073548210144,808.3767917720824,0.5246789984110852
2020-05-15,Friday,1539.5177554561676,786.7940825270648,0.5110652863460697
2020-05-18,Monday,1532.4018302627312,792.6553620098248,0.5172633876807127
2020-05-19,Tuesday,1534.0400836105805,800.5741519602384,0.5218730335102938
2020-05-20,Wednesday,1533.1141380429465,787.1435738601397,0.5134279009812965
2020-05-21,Thursday,1532.7766581768528,768.9381850183072,0.5016635534709366
2020-05-22,Friday,1530.0607404262305,743.3618321770724,0.4858381190605501
2020-05-26,Tuesday,1531.6020378569633,755.6563118115303,0.49337640792699256
2020-05-27,Wednesday,1534.3438390546792,765.9077563454636,0.49917608872946306
2020-05-28,Thursday,1532.6920759760953,760.8872191841832,0.49643841128337013
2020-05-29,Friday,1530.721068980343,737.9973143996257,0.48212396716485173
2020-06-01,Monday,1529.6406541537895,752.8639701350812,0.4921835517973809
2020-06-02,Tuesday,1534.4182157216947,763.7939414882327,0.49777429234245085
2020-06-03,Wednesday,1531.804654920515,755.4445099045003,0.49317287780647207
2020-06-04,Thursday,1530.6653449375033,747.5210138621004,0.48836345340569626
2020-06-05,Friday,1531.546091161891,733.4236024913,0.4788779173696928
2020-06-08,Monday,1530.313617580041,745.946744192538,0.4874469753279329
2020-06-09,Tuesday,1532.1398592599044,747.6922324033826,0.48800520910966516
2020-06-10,Wednesday,1532.9678127605123,764.5136473939697,0.4987147421035941
2020-06-11,Thursday,1532.9939202063447,754.5802160026077,0.49222648965303095
2020-06-12,Friday,1535.7827988692816,732.7879949066013,0.4771429888693347
2020-06-15,Monday,1539.4873588977018,782.6572925359975,0.5083882553581947
2020-06-16,Tuesday,1543.0205786390975,787.5364161977318,0.5103862042412407
2020-06-17,Wednesday,1537.2456617664984,780.8204548897385,0.5079347265761496
2020-06-18,Thursday,1542.3803856435254,776.8988781553488,0.5037012175379838
2020-06-19,Friday,1543.7653101890805,748.156569348233,0.4846310280521841
2020-06-22,Monday,1537.7964586221033,764.3706213225453,0.49705578201645545
2020-06-23,Tuesday,1539.475506579044,771.0079015409748,0.5008250525883814
2020-06-24,Wednesday,1539.3390786602606,769.9461099510173,0.5001796684205067
2020-06-25,Thursday,1539.0574398998494,762.82399282431,0.4956436147529029
2020-06-26,Friday,1538.6994328460373,767.1250886342799,0.4985542155009286
2020-06-29,Monday,1541.9765755415467,764.8156313193355,0.495996919441354
2020-06-30,Tuesday,1541.23396791129,760.3124085867837,0.4933140745769922
2020-07-01,Wednesday,1543.6995464908434,777.9492308014484,0.5039511947580033
2020-07-02,Thursday,1549.2606317774635,773.8608495161719,0.49950333316630074
2020-07-03,Friday,1543.148169468676,753.2687394620008,0.48813766193388936
2020-07-06,Monday,1542.3593494975714,773.1152265478846,0.5012549292094151
2020-07-07,Tuesday,1539.6702372443235,762.6507567056906,0.4953338307498042
2020-07-08,Wednesday,1540.3248066801916,763.6400754932689,0.4957656152659878
2020-07-09,Thursday,1539.3615279939695,753.196947548457,0.48929178354222697
2020-07-10,Friday,1538.8595652896927,743.5914477146868,0.48320942630960906
2020-07-13,Monday,1538.747081407576,763.8089141897034,0.4963836639683538
2020-07-14,Tuesday,1540.5334059122385,761.8101869108538,0.4945106571445895
2020-07-15,Wednesday,1536.9801674015687,747.8478699066228,0.48656962904794054
2020-07-16,Thursday,1536.4309390918618,751.2866593450034,0.48898173047014165
2020-07-17,Friday,1538.6968355885047,743.2833857820186,0.48306031999977134
2020-07-20,Monday,1541.831345725784,772.9181707659295,0.5012987788246677
2020-07-21,Tuesday,1537.900162155298,756.3791119520914,0.49182588737884003
2020-07-22,Wednesday,1537.8873937919275,760.1173886064448,0.4942607577608422
2020-07-23,Thursday,1537.7251518228506,754.5458085543146,0.49068964480411903
2020-07-24,Friday,1537.8918298354633,739.4278312744334,0.4808061379411474
2020-07-27,Monday,1539.2904414643695,766.7232639206592,0.49810175082439556
2020-07-28,Tuesday,1535.9475196369178,744.7866322112915,0.48490369800353034
2020-07-29,Wednesday,1534.4763821440552,735.2104397517318,0.479127895552524
2020-07-30,Thursday,1537.4796809481736,741.8901556785587,0.4825365595862901
2020-07-31,Friday,1538.4523591802406,725.3220364967215,0.47146213671719217
2020-08-03,Monday,1537.1550320990063,763.7520423788447,0.49686077619375246
2020-08-04,Tuesday,1536.9120900569446,761.8118413742368,0.49567691366525113
2020-08-05,Wednesday,1537.9917167975527,754.2384308159607,0.49040474183206656
2020-08-06,Thursday,1537.511284400086,749.4545087855577,0.487446509427073
2020-08-07,Friday,1539.7646802318461,733.8892996868422,0.4766243239040518
2020-08-10,Monday,1539.2946355987815,742.2109245675732,0.4821759963314984
2020-08-11,Tuesday,1539.4782529893262,736.0944557405203,0.47814540693328256
2020-08-12,Wednesday,1541.0008589209992,746.2224465154977,0.4842453151116339
2020-08-13,Thursday,1540.2748825853769,731.1386865496547,0.47468065266533876
2020-08-14,Friday,1541.8238799219275,720.0974018505307,0.4670425793943429
2020-08-17,Monday,1543.9321260277213,748.5036477310863,0.48480346714260086
2020-08-18,Tuesday,1541.1073813647895,743.0869130318756,0.4821772460617281
2020-08-19,Wednesday,1542.9081738548782,749.0236235344028,0.48546221753625496
2020-08-20,Thursday,1540.33426101954,734.6465286442079,0.47693967941604365
2020-08-21,Friday,1543.7837185117276,723.2722500030458,0.4685062041594211
2020-08-24,Monday,1547.2883445603165,762.6633320114997,0.49290317134019457
2020-08-25,Tuesday,1545.7262015243662,754.9139522924703,0.4883878862556566
2020-08-26,Wednesday,1548.0599795890055,749.5783273988542,0.4842049644600074
2020-08-27,Thursday,1547.4686389067685,749.8466768871326,0.4845634076415743
2020-08-28,Friday,1549.275386639525,721.3376739654714,0.4655968075050219
2020-08-31,Monday,1541.3611186026785,707.5093917144908,0.45901598475241395
2020-09-01,Tuesday,1544.0030184597988,745.6219539763647,0.48291482922109225
2020-09-02,Wednesday,1546.4990870779584,759.8350797887538,0.4913259155066354
2020-09-03,Thursday,1540.4401347835446,739.9606499715416,0.4803566417564921
2020-09-04,Friday,1540.3868264644736,720.7695177580139,0.46791462077894963
2020-09-08,Tuesday,1540.9689756030755,759.0419299249663,0.49257443981174687
2020-09-09,Wednesday,1539.7637805277222,751.1395681726323,0.4878277938939405
2020-09-10,Thursday,1535.9780672558804,737.3178339410615,0.48003148590417394
2020-09-11,Friday,1536.5124449028442,716.5328646798822,0.46633716964472066
2020-09-14,Monday,1542.0881731603424,742.8999214435817,0.48174931522954934
2020-09-15,Tuesday,1547.1676514579349,749.1604310610215,0.4842141253115452
2020-09-16,Wednesday,1539.3159795248155,736.0841297857692,0.47818910449626933
2020-09-17,Thursday,1540.3895032215805,732.5144729537277,0.4755384734976071
2020-09-18,Friday,1542.1009276419657,703.1412637314107,0.4559631935418051
2020-09-21,Monday,1557.1390217636304,726.1886547412131,0.4663608352186338
2020-09-22,Tuesday,1548.6659491077523,735.9710114614752,0.47522902656024507
2020-09-23,Wednesday,1543.5617985257986,748.9569650513839,0.48521346263342763
2020-09-24,Thursday,1541.5382651686277,738.3866102281577,0.4789933710451139
2020-09-25,Friday,1541.1626413117453,718.2740561810965,0.46605986735426225
2020-09-28,Monday,1542.898178478644,739.2360823675267,0.47912175455184053
2020-09-29,Tuesday,1547.3385866475517,740.6916348151843,0.47868749684576756
2020-09-30,Wednesday,1547.4480666234774,751.9816357101483,0.4859495138670262
2020-10-01,Thursday,1556.6658777753266,749.6382741537607,0.4815665871889535
2020-10-02,Friday,1547.5546113027067,714.0507878760135,0.4614058739257912
2020-10-05,Monday,1541.853062364348,748.2690995608949,0.48530506429287423
2020-10-06,Tuesday,1539.0455871306347,738.0185869605552,0.4795300367525189
2020-10-07,Wednesday,1540.7518278875732,744.5364051637117,0.4832292856562748
2020-10-08,Thursday,1538.5742624444974,733.809943376015,0.47694151740854723
2020-10-09,Friday,1538.4049139881415,715.931431951174,0.46537255922772786
2020-10-13,Tuesday,1537.7545744028198,743.6659799402581,0.483605116394505
2020-10-14,Wednesday,1541.5178380865664,745.2958779165921,0.48348183816134266
2020-10-15,Thursday,1538.9104851101192,728.0005265768693,0.4730622954490924
2020-10-16,Friday,1540.984266957675,717.6957307150566,0.46573851927248067
2020-10-19,Monday,1542.7590405180026,744.577972912472,0.48262752209344995
2020-10-20,Tuesday,1542.217746483017,737.5956424155969,0.47826945585191355
2020-10-21,Wednesday,1540.7286683991324,730.322153229778,0.4740108808312152
2020-10-22,Thursday,1539.916317889343,722.2838646749128,0.4690409837755973
2020-10-23,Friday,1543.5619270336927,715.6903770120932,0.4636615897798516
2020-10-26,Monday,1541.6614011291688,745.1307280285228,0.48332969060700487
2020-10-27,Tuesday,1543.6585338281193,738.9279069581293,0.4786861153325546
2020-10-28,Wednesday,1543.2184814527454,747.0879261950603,0.4841102767845103
2020-10-29,Thursday,1541.8405279480282,728.5325807929286,0.4725083869487478
2020-10-30,Friday,1544.512294255136,708.8429398224997,0.4589428924969158
2020-11-02,Monday,1542.6833840117706,754.6425328134601,0.4891752517947015
2020-11-03,Tuesday,1542.6202095037165,752.4430989527382,0.48776950691888715
2020-11-04,Wednesday,1541.5378251691052,736.4826967996587,0.47775843367247073
2020-11-05,Thursday,1557.053829740343,774.2157280832187,0.4972311896322353
2020-11-06,Friday,1557.8247642455856,759.7551199898334,0.4877025564282663
2020-11-09,Monday,1573.5421323808646,828.9214451630401,0.5267869401811515
2020-11-10,Tuesday,1557.8109381349682,753.0643704748649,0.48341191606758355
2020-11-12,Thursday,1549.4396387644238,750.049609418879,0.4840779793248314
2020-11-13,Friday,1546.6856026020048,720.8163547646546,0.466039351211402
2020-11-16,Monday,1559.1232856073887,787.8736725026738,0.505331220292654
2020-11-17,Tuesday,1559.8725386151361,796.1320909383809,0.5103827852788482
2020-11-18,Wednesday,1558.6151075522696,766.4205449691568,0.4917317567727055
2020-11-19,Thursday,1553.0297355182547,743.382996405301,0.478666299430017
2020-11-20,Friday,1558.9058063543134,739.7779511296213,0.47454948728408425
2020-11-23,Monday,1556.584623315266,756.7062598332294,0.4861324264026013
2020-11-24,Tuesday,1568.52951152806,780.0035455356242,0.49728330885897415
2020-11-25,Wednesday,1560.7942372317752,731.2167389795317,0.46849015811105105
2020-11-27,Friday,1554.5553707699066,729.4848923686213,0.4692562941693983
2020-11-30,Monday,1555.7218240292902,758.6256368000876,0.4876357875055461
2020-12-01,Tuesday,1555.8008395499055,755.5891226548591,0.4856592845607743
2020-12-02,Wednesday,1555.9480694275574,734.6448409739662,0.47215254506806675
2020-12-03,Thursday,1554.4194453458474,735.8585653279532,0.4733976839592545
2020-12-04,Friday,1552.2450982343692,740.4244623991476,0.4770022873587152
2020-12-07,Monday,1552.5136482233904,762.5771004005803,0.49118866122254756
2020-12-08,Tuesday,1550.0067477722428,752.0349029751045,0.48518169618033696
2020-12-09,Wednesday,1554.3300691129175,755.9431237808905,0.48634658674030545
2020-12-10,Thursday,1561.0558635845841,779.7201831781897,0.49948256264689495
2020-12-11,Friday,1551.7728439016626,735.0769269059557,0.47370137310673177
2020-12-14,Monday,1551.477593396053,758.8842530116243,0.48913645691169216
2020-12-15,Tuesday,1551.2700785054155,751.7058980490497,0.4845744841370802
2020-12-16,Wednesday,1551.6256650986084,754.2427698162696,0.48609841070677073
2020-12-17,Thursday,1553.7672044271674,756.4698756581685,0.48686178566695826
2020-12-18,Friday,1551.1957441519378,723.2081228125328,0.4662262164778705
2020-12-21,Monday,1556.5306565137894,725.1116563026618,0.465851188518649
2020-12-22,Tuesday,1562.5387577313336,755.8904141702126,0.4837578654802123
2020-12-23,Wednesday,1561.1748730593329,753.9517309107841,0.482938679017626
2020-12-24,Thursday,1564.5886070171523,784.7548202998378,0.5015726286004041
2020-12-28,Monday,1550.6358734544585,744.306782363227,0.4800010080413549
2020-12-29,Tuesday,1552.191978804042,742.4639624235989,0.47833255973637007
2020-12-30,Wednesday,1552.9207741124976,747.4206904280845,0.4812999496740195
2020-12-31,Thursday,1553.6852827853304,746.6929936694087,0.4805947523238384
